year;state;month;number;date
2015;MALTEPE;SUBAT;60;1.01.2015
1999;MALTEPE;AGUSTOS;60;1.01.1999
2002;MALTEPE;AGUSTOS;60;1.01.2002
2017;SARIYER;NISAN;60;1.01.2017
2003;ÜSKÜDAR;MAYIS;60;1.01.2003
2000;FATIH;MART;60;1.01.2000
2001;BEYKOZ;NISAN;60;1.01.2001
2006;PENDIK;SUBAT;60;1.01.2006
2017;PENDIK;SUBAT;60;1.01.2017
2007;PENDIK;TEMMUZ;60;1.01.2007
2006;PENDIK;KASIM;60;1.01.2006
2016;SILE;MAYIS;60;1.01.2016
2001;KAGITHANE;EYLUL;60;1.01.2001
2014;KAGITHANE;NISAN;60;1.01.2014
2015;KAGITHANE;TEMMUZ;60;1.01.2015
1998;KAGITHANE;EYLUL;60;1.01.1998
2012;KUCUKCEKMECE;MAYIS;60;1.01.2012
2004;ZEYTINBURNU;MAYIS;60;1.01.2004
2009;GAZIOSMANPASA;OCAK;60;1.01.2009
2013;UMRANIYE;MART;60;1.01.2013
2007;BESIKTAS;EYLUL;61;1.01.2007
2004;KADIKOY;AGUSTOS;61;1.01.2004
2011;KARTAL;AGUSTOS;61;1.01.2011
2014;MALTEPE;EYLUL;61;1.01.2014
2015;MALTEPE;ARALIK;61;1.01.2015
2011;FATIH;SUBAT;61;1.01.2011
2011;BEYKOZ;OCAK;61;1.01.2011
2016;BEYKOZ;OCAK;61;1.01.2016
2017;BEYKOZ;SUBAT;61;1.01.2017
2008;BEYKOZ;MART;61;1.01.2008
2013;BEYKOZ;NISAN;61;1.01.2013
2015;ÇATALCA;MART;61;1.01.2015
2012;PENDIK;OCAK;61;1.01.2012
1998;PENDIK;EYLUL;61;1.01.1998
1998;PENDIK;EKIM;61;1.01.1998
2008;SILE;OCAK;61;1.01.2008
2012;KAGITHANE;OCAK;61;1.01.2012
2014;ATASEHIR;EKIM;61;1.01.2014
2009;KUCUKCEKMECE;KASIM;61;1.01.2009
2001;ZEYTINBURNU;NISAN;61;1.01.2001
2017;UMRANIYE;OCAK;61;1.01.2017
2000;BEYOGLU;SUBAT;62;1.01.2000
2003;BEYOGLU;SUBAT;62;1.01.2003
2005;MALTEPE;EKIM;62;1.01.2005
2012;MALTEPE;EKIM;62;1.01.2012
2013;ÜSKÜDAR;SUBAT;62;1.01.2013
2013;ÜSKÜDAR;NISAN;62;1.01.2013
2007;FATIH;MAYIS;62;1.01.2007
2002;BEYKOZ;SUBAT;62;1.01.2002
2002;BEYKOZ;MART;62;1.01.2002
2006;BEYKOZ;MAYIS;62;1.01.2006
2001;BEYKOZ;KASIM;62;1.01.2001
2012;PENDIK;ARALIK;62;1.01.2012
2014;PENDIK;ARALIK;62;1.01.2014
2008;PENDIK;NISAN;62;1.01.2008
2006;PENDIK;HAZIRAN;62;1.01.2006
2008;PENDIK;ARALIK;62;1.01.2008
2001;SISLI;ARALIK;62;1.01.2001
2014;KAGITHANE;TEMMUZ;62;1.01.2014
1999;KAGITHANE;KASIM;62;1.01.1999
2014;KAGITHANE;HAZIRAN;62;1.01.2014
2013;KAGITHANE;ARALIK;62;1.01.2013
2003;CEKMEKOY;OCAK;62;1.01.2003
2013;ATASEHIR;SUBAT;62;1.01.2013
2005;ZEYTINBURNU;NISAN;62;1.01.2005
2003;GAZIOSMANPASA;MART;62;1.01.2003
1999;ARNAVUTKOY;AGUSTOS;63;1.01.1999
2015;BAGCILAR;NISAN;63;1.01.2015
2010;BESIKTAS;EYLUL;63;1.01.2010
2010;KADIKOY;SUBAT;63;1.01.2010
2007;MALTEPE;EYLUL;63;1.01.2007
2008;FATIH;OCAK;63;1.01.2008
2012;ÇATALCA;SUBAT;63;1.01.2012
2002;PENDIK;EYLUL;63;1.01.2002
2016;PENDIK;MART;63;1.01.2016
2014;SISLI;EYLUL;63;1.01.2014
2002;SILE;MART;63;1.01.2002
2014;SILE;NISAN;63;1.01.2014
2007;KAGITHANE;OCAK;63;1.01.2007
1999;KAGITHANE;OCAK;63;1.01.1999
2014;KAGITHANE;MAYIS;63;1.01.2014
2013;ATASEHIR;EKIM;63;1.01.2013
2006;ZEYTINBURNU;NISAN;63;1.01.2006
2015;GAZIOSMANPASA;ARALIK;63;1.01.2015
2003;BEYOGLU;MART;64;1.01.2003
2007;ESENYURT;NISAN;64;1.01.2007
1999;ESENYURT;HAZIRAN;64;1.01.1999
2012;KARTAL;EYLUL;64;1.01.2012
1999;MALTEPE;EYLUL;64;1.01.1999
2016;SARIYER;ARALIK;64;1.01.2016
2003;ÇATALCA;HAZIRAN;64;1.01.2003
2012;SISLI;SUBAT;64;1.01.2012
1999;SISLI;EYLUL;64;1.01.1999
2000;SISLI;KASIM;64;1.01.2000
2010;ATASEHIR;EKIM;64;1.01.2010
2009;ZEYTINBURNU;EKIM;64;1.01.2009
2012;ZEYTINBURNU;ARALIK;64;1.01.2012
2009;GAZIOSMANPASA;SUBAT;64;1.01.2009
2003;UMRANIYE;NISAN;64;1.01.2003
2017;BEYOGLU;OCAK;65;1.01.2017
2000;ESENYURT;MART;65;1.01.2000
2010;SARIYER;MART;65;1.01.2010
2015;FATIH;NISAN;65;1.01.2015
2005;BEYKOZ;ARALIK;65;1.01.2005
2000;PENDIK;KASIM;65;1.01.2000
2010;PENDIK;ARALIK;65;1.01.2010
2002;PENDIK;MAYIS;65;1.01.2002
2009;KAGITHANE;OCAK;65;1.01.2009
2011;ATASEHIR;EKIM;65;1.01.2011
2013;ATASEHIR;ARALIK;65;1.01.2013
2012;KUCUKCEKMECE;MART;65;1.01.2012
2009;ZEYTINBURNU;SUBAT;65;1.01.2009
2015;ZEYTINBURNU;MAYIS;65;1.01.2015
2015;UMRANIYE;SUBAT;65;1.01.2015
2017;KARTAL;EKIM;66;1.01.2017
2011;BEYKOZ;NISAN;66;1.01.2011
2016;ÇATALCA;NISAN;66;1.01.2016
2017;SISLI;KASIM;66;1.01.2017
2015;SILE;MAYIS;66;1.01.2015
2001;KUCUKCEKMECE;KASIM;66;1.01.2001
2004;GAZIOSMANPASA;ARALIK;66;1.01.2004
2005;UMRANIYE;OCAK;66;1.01.2005
2004;BESIKTAS;EYLUL;67;1.01.2004
2010;SARIYER;KASIM;67;1.01.2010
2011;BEYKOZ;MART;67;1.01.2011
2000;BEYKOZ;MAYIS;67;1.01.2000
2000;PENDIK;SUBAT;67;1.01.2000
2012;ATASEHIR;EYLUL;67;1.01.2012
2014;ATASEHIR;EYLUL;67;1.01.2014
2009;ZEYTINBURNU;NISAN;67;1.01.2009
2008;GAZIOSMANPASA;SUBAT;67;1.01.2008
2013;GAZIOSMANPASA;MART;67;1.01.2013
2006;ESENYURT;HAZIRAN;68;1.01.2006
2014;SARIYER;ARALIK;68;1.01.2014
2004;PENDIK;NISAN;68;1.01.2004
2014;PENDIK;KASIM;68;1.01.2014
2013;SILE;SUBAT;68;1.01.2013
2017;KAGITHANE;HAZIRAN;68;1.01.2017
2016;KAGITHANE;OCAK;68;1.01.2016
2015;KAGITHANE;HAZIRAN;68;1.01.2015
2014;KAGITHANE;KASIM;68;1.01.2014
2003;KUCUKCEKMECE;HAZIRAN;68;1.01.2003
2004;KUCUKCEKMECE;ARALIK;68;1.01.2004
2015;ZEYTINBURNU;MART;68;1.01.2015
2000;BEYOGLU;MART;69;1.01.2000
1999;FATIH;SUBAT;69;1.01.1999
2006;BEYKOZ;MART;69;1.01.2006
2017;BEYKOZ;NISAN;69;1.01.2017
2007;PENDIK;OCAK;69;1.01.2007
2017;SISLI;EYLUL;69;1.01.2017
2012;KAGITHANE;KASIM;69;1.01.2012
2011;KAGITHANE;ARALIK;69;1.01.2011
2013;KUCUKCEKMECE;TEMMUZ;69;1.01.2013
2000;KUCUKCEKMECE;AGUSTOS;69;1.01.2000
2015;ZEYTINBURNU;SUBAT;69;1.01.2015
2003;ZEYTINBURNU;MAYIS;69;1.01.2003
2007;ZEYTINBURNU;MAYIS;69;1.01.2007
2000;UMRANIYE;MAYIS;69;1.01.2000
2010;BAGCILAR;MART;70;1.01.2010
2006;SARIYER;HAZIRAN;70;1.01.2006
2014;FATIH;MAYIS;70;1.01.2014
1998;BEYKOZ;HAZIRAN;70;1.01.1998
2014;ÇATALCA;MAYIS;70;1.01.2014
2003;PENDIK;OCAK;70;1.01.2003
2014;PENDIK;EKIM;70;1.01.2014
2001;PENDIK;ARALIK;70;1.01.2001
2017;KAGITHANE;TEMMUZ;70;1.01.2017
2008;KAGITHANE;OCAK;70;1.01.2008
2004;KAGITHANE;OCAK;70;1.01.2004
2015;KAGITHANE;EKIM;70;1.01.2015
2006;ATASEHIR;OCAK;70;1.01.2006
2015;KUCUKCEKMECE;MAYIS;70;1.01.2015
2017;KUCUKCEKMECE;HAZIRAN;70;1.01.2017
2012;ARNAVUTKOY;TEMMUZ;71;1.01.2012
2004;BAGCILAR;ARALIK;71;1.01.2004
1998;BEYOGLU;TEMMUZ;71;1.01.1998
2000;ESENYURT;MAYIS;71;1.01.2000
2011;SARIYER;NISAN;71;1.01.2011
2002;ÜSKÜDAR;MAYIS;71;1.01.2002
2007;BEYKOZ;SUBAT;71;1.01.2007
2012;PENDIK;EYLUL;71;1.01.2012
2010;PENDIK;NISAN;71;1.01.2010
2012;SILE;MART;71;1.01.2012
2013;KAGITHANE;EKIM;71;1.01.2013
2007;CEKMEKOY;HAZIRAN;71;1.01.2007
2016;ATASEHIR;KASIM;71;1.01.2016
2005;ATASEHIR;ARALIK;71;1.01.2005
2012;GAZIOSMANPASA;MART;71;1.01.2012
2008;ESENYURT;HAZIRAN;72;1.01.2008
2014;KARTAL;EYLUL;72;1.01.2014
2010;FATIH;OCAK;72;1.01.2010
2008;FATIH;NISAN;72;1.01.2008
2013;FATIH;MAYIS;72;1.01.2013
2017;FATIH;MAYIS;72;1.01.2017
2013;PENDIK;NISAN;72;1.01.2013
2016;PENDIK;MAYIS;72;1.01.2016
2013;SILE;OCAK;72;1.01.2013
2012;KAGITHANE;AGUSTOS;72;1.01.2012
2012;KAGITHANE;OCAK;72;1.01.2012
2010;KAGITHANE;NISAN;72;1.01.2010
2005;ATASEHIR;EYLUL;72;1.01.2005
2012;KUCUKCEKMECE;KASIM;72;1.01.2012
2008;ZEYTINBURNU;MART;72;1.01.2008
2002;ZEYTINBURNU;KASIM;72;1.01.2002
2010;UMRANIYE;ARALIK;72;1.01.2010
2002;BESIKTAS;EYLUL;73;1.01.2002
2007;KARTAL;EYLUL;73;1.01.2007
2007;ÜSKÜDAR;MAYIS;73;1.01.2007
2011;ÜSKÜDAR;MAYIS;73;1.01.2011
2006;BEYKOZ;HAZIRAN;73;1.01.2006
2010;KAGITHANE;SUBAT;73;1.01.2010
2010;ATASEHIR;ARALIK;73;1.01.2010
2004;KUCUKCEKMECE;MART;73;1.01.2004
2011;ZEYTINBURNU;SUBAT;73;1.01.2011
2004;ZEYTINBURNU;MART;73;1.01.2004
2005;ZEYTINBURNU;MART;73;1.01.2005
2014;UMRANIYE;SUBAT;73;1.01.2014
2011;ARNAVUTKOY;KASIM;74;1.01.2011
2008;BAGCILAR;SUBAT;74;1.01.2008
2016;BAGCILAR;EKIM;74;1.01.2016
2006;BESIKTAS;ARALIK;74;1.01.2006
2014;BEYOGLU;HAZIRAN;74;1.01.2014
2012;MALTEPE;NISAN;74;1.01.2012
2005;ÜSKÜDAR;MAYIS;74;1.01.2005
2003;FATIH;MAYIS;74;1.01.2003
2009;BEYKOZ;OCAK;74;1.01.2009
2009;BEYKOZ;SUBAT;74;1.01.2009
1999;SILE;ARALIK;74;1.01.1999
2015;KAGITHANE;TEMMUZ;74;1.01.2015
2004;KAGITHANE;AGUSTOS;74;1.01.2004
2013;KAGITHANE;AGUSTOS;74;1.01.2013
2012;KAGITHANE;EKIM;74;1.01.2012
2015;KAGITHANE;ARALIK;74;1.01.2015
2011;KAGITHANE;EKIM;74;1.01.2011
2012;KAGITHANE;KASIM;74;1.01.2012
2003;CEKMEKOY;HAZIRAN;74;1.01.2003
2001;CEKMEKOY;TEMMUZ;74;1.01.2001
2006;KUCUKCEKMECE;TEMMUZ;74;1.01.2006
2013;KUCUKCEKMECE;ARALIK;74;1.01.2013
2002;KADIKOY;SUBAT;75;1.01.2002
2017;SARIYER;SUBAT;75;1.01.2017
2012;BEYKOZ;OCAK;75;1.01.2012
2013;BEYKOZ;OCAK;75;1.01.2013
2003;BEYKOZ;MAYIS;75;1.01.2003
2014;PENDIK;OCAK;75;1.01.2014
2000;SILE;TEMMUZ;75;1.01.2000
2014;KAGITHANE;EKIM;75;1.01.2014
2012;KAGITHANE;ARALIK;75;1.01.2012
2016;KAGITHANE;ARALIK;75;1.01.2016
2011;ZEYTINBURNU;OCAK;75;1.01.2011
2014;ZEYTINBURNU;MART;75;1.01.2014
2016;BAGCILAR;KASIM;76;1.01.2016
2005;ESENYURT;NISAN;76;1.01.2005
1999;ESENYURT;MAYIS;76;1.01.1999
1998;KADIKOY;TEMMUZ;76;1.01.1998
2015;KARTAL;EYLUL;76;1.01.2015
2015;MALTEPE;OCAK;76;1.01.2015
2015;SARIYER;MART;76;1.01.2015
1999;FATIH;NISAN;76;1.01.1999
1998;FATIH;ARALIK;76;1.01.1998
2003;PENDIK;MART;76;1.01.2003
2011;KAGITHANE;EKIM;76;1.01.2011
2006;KAGITHANE;MART;76;1.01.2006
2001;ATASEHIR;KASIM;76;1.01.2001
2001;ATASEHIR;ARALIK;76;1.01.2001
2010;KUCUKCEKMECE;EKIM;76;1.01.2010
2002;KUCUKCEKMECE;ARALIK;76;1.01.2002
2006;ZEYTINBURNU;OCAK;76;1.01.2006
2015;ZEYTINBURNU;NISAN;76;1.01.2015
2014;BEYKOZ;MART;77;1.01.2014
2008;PENDIK;OCAK;77;1.01.2008
2005;PENDIK;SUBAT;77;1.01.2005
2017;PENDIK;NISAN;77;1.01.2017
2015;PENDIK;MAYIS;77;1.01.2015
2012;PENDIK;HAZIRAN;77;1.01.2012
2011;SILE;MAYIS;77;1.01.2011
2013;KAGITHANE;KASIM;77;1.01.2013
2015;ATASEHIR;EYLUL;77;1.01.2015
2000;ATASEHIR;ARALIK;77;1.01.2000
2005;BEYOGLU;HAZIRAN;78;1.01.2005
2016;MALTEPE;AGUSTOS;78;1.01.2016
2008;MALTEPE;EYLUL;78;1.01.2008
2002;SARIYER;NISAN;78;1.01.2002
2014;ÜSKÜDAR;NISAN;78;1.01.2014
1998;ÜSKÜDAR;HAZIRAN;78;1.01.1998
2008;FATIH;SUBAT;78;1.01.2008
2013;FATIH;NISAN;78;1.01.2013
2006;ÇATALCA;HAZIRAN;78;1.01.2006
2013;PENDIK;ARALIK;78;1.01.2013
2006;PENDIK;OCAK;78;1.01.2006
2008;PENDIK;EKIM;78;1.01.2008
2011;PENDIK;ARALIK;78;1.01.2011
2014;PENDIK;ARALIK;78;1.01.2014
2008;CEKMEKOY;KASIM;78;1.01.2008
2008;ATASEHIR;EKIM;78;1.01.2008
2012;ATASEHIR;ARALIK;78;1.01.2012
2005;ZEYTINBURNU;SUBAT;78;1.01.2005
1999;ZEYTINBURNU;MART;78;1.01.1999
2013;ARNAVUTKOY;KASIM;79;1.01.2013
2000;KADIKOY;AGUSTOS;79;1.01.2000
2016;KARTAL;TEMMUZ;79;1.01.2016
2007;MALTEPE;EKIM;79;1.01.2007
2013;SARIYER;MART;79;1.01.2013
2007;SARIYER;KASIM;79;1.01.2007
2003;ÜSKÜDAR;NISAN;79;1.01.2003
2007;FATIH;NISAN;79;1.01.2007
2005;BEYKOZ;SUBAT;79;1.01.2005
2004;BEYKOZ;MAYIS;79;1.01.2004
2009;SILE;OCAK;79;1.01.2009
2014;SILE;OCAK;79;1.01.2014
2000;SILE;ARALIK;79;1.01.2000
2006;KAGITHANE;AGUSTOS;79;1.01.2006
2016;KAGITHANE;ARALIK;79;1.01.2016
2016;KUCUKCEKMECE;HAZIRAN;79;1.01.2016
2011;KUCUKCEKMECE;KASIM;79;1.01.2011
2010;UMRANIYE;OCAK;79;1.01.2010
2012;BEYOGLU;ARALIK;80;1.01.2012
2014;SARIYER;OCAK;80;1.01.2014
2014;SARIYER;MART;80;1.01.2014
2015;BEYKOZ;MART;80;1.01.2015
2008;PENDIK;EKIM;80;1.01.2008
2009;PENDIK;NISAN;80;1.01.2009
2012;SILE;OCAK;80;1.01.2012
2004;SILE;MAYIS;80;1.01.2004
2007;KAGITHANE;ARALIK;80;1.01.2007
2000;KAGITHANE;ARALIK;80;1.01.2000
2001;KAGITHANE;ARALIK;80;1.01.2001
2005;GAZIOSMANPASA;OCAK;80;1.01.2005
2012;UMRANIYE;MART;80;1.01.2012
2015;BAGCILAR;OCAK;81;1.01.2015
2010;BEYOGLU;SUBAT;81;1.01.2010
2001;KADIKOY;MAYIS;81;1.01.2001
2007;FATIH;ARALIK;81;1.01.2007
2000;FATIH;SUBAT;81;1.01.2000
2011;FATIH;MAYIS;81;1.01.2011
2003;BEYKOZ;MART;81;1.01.2003
2004;BEYKOZ;MART;81;1.01.2004
2016;ÇATALCA;MART;81;1.01.2016
2003;PENDIK;EYLUL;81;1.01.2003
2003;KAGITHANE;EKIM;81;1.01.2003
2012;ZEYTINBURNU;SUBAT;81;1.01.2012
2008;UMRANIYE;MAYIS;81;1.01.2008
2010;BEYOGLU;OCAK;82;1.01.2010
1998;ESENYURT;ARALIK;82;1.01.1998
2007;MALTEPE;AGUSTOS;82;1.01.2007
2010;ÜSKÜDAR;MART;82;1.01.2010
1998;FATIH;HAZIRAN;82;1.01.1998
2007;FATIH;KASIM;82;1.01.2007
2010;BEYKOZ;KASIM;82;1.01.2010
1998;PENDIK;ARALIK;82;1.01.1998
2008;KAGITHANE;KASIM;82;1.01.2008
2002;KUCUKCEKMECE;TEMMUZ;82;1.01.2002
2014;KUCUKCEKMECE;TEMMUZ;82;1.01.2014
2016;ZEYTINBURNU;MART;82;1.01.2016
2012;ZEYTINBURNU;NISAN;82;1.01.2012
2012;ZEYTINBURNU;MAYIS;82;1.01.2012
2005;BAGCILAR;OCAK;83;1.01.2005
2008;BESIKTAS;EYLUL;83;1.01.2008
1998;BEYOGLU;EKIM;83;1.01.1998
1999;ESENYURT;MART;83;1.01.1999
1999;KADIKOY;TEMMUZ;83;1.01.1999
2006;FATIH;KASIM;83;1.01.2006
2001;BEYKOZ;MAYIS;83;1.01.2001
2006;PENDIK;OCAK;83;1.01.2006
2004;PENDIK;MART;83;1.01.2004
2015;PENDIK;NISAN;83;1.01.2015
2005;KAGITHANE;EKIM;83;1.01.2005
2009;ZEYTINBURNU;KASIM;83;1.01.2009
1998;BESIKTAS;ARALIK;84;1.01.1998
2005;SARIYER;SUBAT;84;1.01.2005
2014;FATIH;HAZIRAN;84;1.01.2014
2014;FATIH;ARALIK;84;1.01.2014
2015;BEYKOZ;SUBAT;84;1.01.2015
2005;PENDIK;MART;84;1.01.2005
2002;PENDIK;NISAN;84;1.01.2002
2002;SILE;MAYIS;84;1.01.2002
2009;KAGITHANE;EKIM;84;1.01.2009
2003;KUCUKCEKMECE;MAYIS;84;1.01.2003
1999;KUCUKCEKMECE;KASIM;84;1.01.1999
2013;KUCUKCEKMECE;KASIM;84;1.01.2013
2008;ZEYTINBURNU;NISAN;84;1.01.2008
2013;BESIKTAS;EYLUL;85;1.01.2013
2001;ESENYURT;MAYIS;85;1.01.2001
2010;KARTAL;TEMMUZ;85;1.01.2010
2006;SARIYER;OCAK;85;1.01.2006
2001;SARIYER;MAYIS;85;1.01.2001
2008;BEYKOZ;OCAK;85;1.01.2008
2005;ÇATALCA;SUBAT;85;1.01.2005
2013;PENDIK;MAYIS;85;1.01.2013
2000;PENDIK;KASIM;85;1.01.2000
2001;PENDIK;ARALIK;85;1.01.2001
2017;SILE;OCAK;85;1.01.2017
2015;KAGITHANE;EYLUL;85;1.01.2015
2006;KAGITHANE;EKIM;85;1.01.2006
2017;KAGITHANE;EKIM;85;1.01.2017
2016;ZEYTINBURNU;OCAK;85;1.01.2016
2015;UMRANIYE;MART;85;1.01.2015
2013;UMRANIYE;ARALIK;85;1.01.2013
2002;ARNAVUTKOY;KASIM;86;1.01.2002
2010;SARIYER;SUBAT;86;1.01.2010
2013;SARIYER;SUBAT;86;1.01.2013
2013;SARIYER;ARALIK;86;1.01.2013
2014;PENDIK;OCAK;86;1.01.2014
2012;PENDIK;MAYIS;86;1.01.2012
2003;SILE;OCAK;86;1.01.2003
2012;KAGITHANE;HAZIRAN;86;1.01.2012
2003;ZEYTINBURNU;MART;86;1.01.2003
2016;ARNAVUTKOY;HAZIRAN;87;1.01.2016
2006;MALTEPE;EYLUL;87;1.01.2006
2003;SARIYER;NISAN;87;1.01.2003
2009;FATIH;ARALIK;87;1.01.2009
1999;ÇATALCA;OCAK;87;1.01.1999
2008;PENDIK;TEMMUZ;87;1.01.2008
2002;SILE;NISAN;87;1.01.2002
2001;SILE;HAZIRAN;87;1.01.2001
2013;ATASEHIR;NISAN;87;1.01.2013
2008;ZEYTINBURNU;EKIM;87;1.01.2008
2011;ZEYTINBURNU;KASIM;87;1.01.2011
2003;BESIKTAS;EYLUL;88;1.01.2003
2000;MALTEPE;EKIM;88;1.01.2000
2002;FATIH;MAYIS;88;1.01.2002
2004;PENDIK;OCAK;88;1.01.2004
2014;SILE;MART;88;1.01.2014
2003;SILE;HAZIRAN;88;1.01.2003
1999;KAGITHANE;AGUSTOS;88;1.01.1999
2007;KAGITHANE;EKIM;88;1.01.2007
2016;CEKMEKOY;SUBAT;88;1.01.2016
2005;ATASEHIR;EKIM;88;1.01.2005
2010;KUCUKCEKMECE;KASIM;88;1.01.2010
2006;ZEYTINBURNU;MAYIS;88;1.01.2006
2015;UMRANIYE;NISAN;88;1.01.2015
2004;ESENYURT;NISAN;89;1.01.2004
2014;MALTEPE;EKIM;89;1.01.2014
2012;SARIYER;NISAN;89;1.01.2012
2015;SARIYER;NISAN;89;1.01.2015
2009;SARIYER;KASIM;89;1.01.2009
2001;FATIH;SUBAT;89;1.01.2001
2006;FATIH;HAZIRAN;89;1.01.2006
2005;BEYKOZ;NISAN;89;1.01.2005
2001;PENDIK;KASIM;89;1.01.2001
2004;KAGITHANE;EKIM;89;1.01.2004
2017;KAGITHANE;KASIM;89;1.01.2017
1999;KUCUKCEKMECE;ARALIK;89;1.01.1999
2014;UMRANIYE;OCAK;89;1.01.2014
2016;BEYOGLU;HAZIRAN;90;1.01.2016
2007;BEYOGLU;KASIM;90;1.01.2007
2011;ESENYURT;MART;90;1.01.2011
2008;SARIYER;KASIM;90;1.01.2008
2000;FATIH;NISAN;90;1.01.2000
2006;PENDIK;MAYIS;90;1.01.2006
2009;PENDIK;KASIM;90;1.01.2009
2009;KAGITHANE;EYLUL;90;1.01.2009
2010;KAGITHANE;KASIM;90;1.01.2010
2005;KUCUKCEKMECE;TEMMUZ;90;1.01.2005
2017;KADIKOY;OCAK;91;1.01.2017
2006;SARIYER;KASIM;91;1.01.2006
2017;ÜSKÜDAR;NISAN;91;1.01.2017
2007;BEYKOZ;OCAK;91;1.01.2007
2016;BEYKOZ;ARALIK;91;1.01.2016
2009;KAGITHANE;AGUSTOS;91;1.01.2009
2012;KAGITHANE;EKIM;91;1.01.2012
2001;CEKMEKOY;KASIM;91;1.01.2001
2002;CEKMEKOY;ARALIK;91;1.01.2002
2011;ATASEHIR;MART;91;1.01.2011
2010;ZEYTINBURNU;NISAN;91;1.01.2010
2007;ZEYTINBURNU;HAZIRAN;91;1.01.2007
2006;UMRANIYE;OCAK;91;1.01.2006
2009;UMRANIYE;MAYIS;91;1.01.2009
2004;BEYOGLU;SUBAT;92;1.01.2004
2007;BEYOGLU;SUBAT;92;1.01.2007
2009;ESENYURT;HAZIRAN;92;1.01.2009
2008;SISLI;EYLUL;92;1.01.2008
2015;SILE;OCAK;92;1.01.2015
2014;CEKMEKOY;HAZIRAN;92;1.01.2014
2005;KUCUKCEKMECE;MART;92;1.01.2005
2011;ARNAVUTKOY;TEMMUZ;93;1.01.2011
1998;KADIKOY;AGUSTOS;93;1.01.1998
2011;MALTEPE;AGUSTOS;93;1.01.2011
2012;SARIYER;ARALIK;93;1.01.2012
2010;ÜSKÜDAR;SUBAT;93;1.01.2010
2006;KAGITHANE;OCAK;93;1.01.2006
2016;KAGITHANE;KASIM;93;1.01.2016
2002;KAGITHANE;TEMMUZ;93;1.01.2002
2016;KAGITHANE;EKIM;93;1.01.2016
2016;CEKMEKOY;OCAK;93;1.01.2016
2017;ESENYURT;NISAN;94;1.01.2017
2007;SARIYER;MAYIS;94;1.01.2007
2000;ÜSKÜDAR;HAZIRAN;94;1.01.2000
2010;ÇATALCA;HAZIRAN;94;1.01.2010
1999;PENDIK;TEMMUZ;94;1.01.1999
2005;SILE;OCAK;94;1.01.2005
2016;SILE;OCAK;94;1.01.2016
2004;KUCUKCEKMECE;TEMMUZ;94;1.01.2004
2007;ZEYTINBURNU;TEMMUZ;94;1.01.2007
2012;BAGCILAR;KASIM;95;1.01.2012
2002;BAGCILAR;ARALIK;95;1.01.2002
2001;BESIKTAS;EYLUL;95;1.01.2001
2017;BESIKTAS;EYLUL;95;1.01.2017
2015;ÜSKÜDAR;SUBAT;95;1.01.2015
2014;FATIH;MART;95;1.01.2014
2007;BEYKOZ;ARALIK;95;1.01.2007
2015;ÇATALCA;MAYIS;95;1.01.2015
2013;PENDIK;KASIM;95;1.01.2013
2010;KAGITHANE;EKIM;95;1.01.2010
2012;FATIH;HAZIRAN;96;1.01.2012
2006;BEYKOZ;SUBAT;96;1.01.2006
2015;KAGITHANE;EKIM;96;1.01.2015
2007;ZEYTINBURNU;SUBAT;96;1.01.2007
2000;ZEYTINBURNU;KASIM;96;1.01.2000
2003;UMRANIYE;MAYIS;96;1.01.2003
2000;UMRANIYE;KASIM;96;1.01.2000
2004;UMRANIYE;ARALIK;96;1.01.2004
2011;ARNAVUTKOY;EKIM;97;1.01.2011
2005;BESIKTAS;EYLUL;97;1.01.2005
2012;ÜSKÜDAR;NISAN;97;1.01.2012
2001;FATIH;OCAK;97;1.01.2001
2008;FATIH;MART;97;1.01.2008
1999;FATIH;NISAN;97;1.01.1999
2004;FATIH;NISAN;97;1.01.2004
2012;FATIH;NISAN;97;1.01.2012
2016;FATIH;MAYIS;97;1.01.2016
2011;PENDIK;MAYIS;97;1.01.2011
2016;SILE;SUBAT;97;1.01.2016
2008;SILE;TEMMUZ;97;1.01.2008
2015;KAGITHANE;OCAK;97;1.01.2015
2003;KAGITHANE;AGUSTOS;97;1.01.2003
2008;KAGITHANE;EYLUL;97;1.01.2008
2006;ZEYTINBURNU;HAZIRAN;97;1.01.2006
2017;ARNAVUTKOY;KASIM;98;1.01.2017
2001;ESENYURT;HAZIRAN;98;1.01.2001
2000;FATIH;ARALIK;98;1.01.2000
2002;FATIH;SUBAT;98;1.01.2002
2002;BEYKOZ;MAYIS;98;1.01.2002
2013;BEYKOZ;ARALIK;98;1.01.2013
2001;PENDIK;EYLUL;98;1.01.2001
2000;PENDIK;TEMMUZ;98;1.01.2000
2005;KAGITHANE;AGUSTOS;98;1.01.2005
2004;KAGITHANE;NISAN;98;1.01.2004
2003;KAGITHANE;ARALIK;98;1.01.2003
1999;ATASEHIR;MART;98;1.01.1999
2017;UMRANIYE;MART;98;1.01.2017
2014;KARTAL;AGUSTOS;99;1.01.2014
1999;SARIYER;MAYIS;99;1.01.1999
2006;FATIH;MAYIS;99;1.01.2006
2002;BEYKOZ;NISAN;99;1.01.2002
2014;SISLI;OCAK;99;1.01.2014
2010;SILE;OCAK;99;1.01.2010
2004;KAGITHANE;ARALIK;99;1.01.2004
2005;CEKMEKOY;OCAK;99;1.01.2005
2012;ATASEHIR;MART;99;1.01.2012
2014;ZEYTINBURNU;OCAK;99;1.01.2014
